challenge,chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,n_estimators,max_depth,max_features,max_samples,min_samples_leaf,min_samples_split,r2,rmse,mae,pearson
t-F2F,ToxPrint,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,0.95965,0.30005,0.1794,0.97977
t-F2F,ToxPrint,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,0.56485,0.97657,0.74608,0.7714
t-F2F,ToxPrint,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,25,200,sqrt,1.0,1,2,0.96478,0.30453,0.18243,0.98232
t-F2F,ToxPrint,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,25,200,sqrt,1.0,1,2,0.61446,0.99737,0.76474,0.79996
t-F2F,ToxPrint,scaffold-generic,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,0.95823,0.30465,0.18126,0.97901
t-F2F,ToxPrint,scaffold-generic,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,-0.81633,1.38498,1.16372,0.49385
t-F2F,ToxPrint,scaffold-generic,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,25,200,sqrt,1.0,1,2,0.96368,0.3089,0.18418,0.98174
t-F2F,ToxPrint,scaffold-generic,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,25,200,sqrt,1.0,1,2,-0.76305,1.40772,1.18195,0.4919
t-F2F,mol2vec,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,0.96338,0.28997,0.17606,0.98169
t-F2F,mol2vec,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,0.88847,0.50534,0.31472,0.94262
t-F2F,mol2vec,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,0.96881,0.29017,0.17624,0.98441
t-F2F,mol2vec,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,0.90494,0.5059,0.31478,0.95132
t-F2F,mol2vec,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,25,200,sqrt,1.0,1,2,0.95866,0.30371,0.17997,0.97919
t-F2F,mol2vec,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,25,200,sqrt,1.0,1,2,0.52244,1.0269,0.78935,0.74246
t-F2F,mol2vec,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,0.96592,0.29953,0.17752,0.98288
t-F2F,mol2vec,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,0.5825,1.04182,0.80073,0.78455
t-F2F,mol2vec,scaffold-generic,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,0.95816,0.30484,0.18026,0.97893
t-F2F,mol2vec,scaffold-generic,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,-1.12781,1.46584,1.24147,0.45836
